"Ocupacion","NoPago","TotalMonto","EstadoContrato","Producto","FechaInicioC","FechaAdjudicación","FechaUltimoPago","FechaProyectadaFin","MontoVencido","Mensualidad","Ingresos","Legal","EdadActual","AZULEstatus","AdjudicaReal","PagosPuntuales","CostoAdmin","Genero","PersonaTipo","dtEstadoContrato","GrupoOrigenVenta","SemanasAdjud","Pagos9","Domicilia_Pago","Email","timetotV","Y"
"ejecutivo (a)",35,302783,"subastado con 013","autos","2015-04-17","2015-04-17","2018-02-21","2020-04-17",5046,5046,19125,"normal",24,"normal","normal",34,17468,"mujer","fisica","subasta (0,20]","evento",0.0,9,1,1,36,1
"coordinador (a)",38,211366,"subastado con 012","autos","2015-02-20","2015-02-20","2018-02-08","2020-02-20",7044,3522,22327,"normal",41,"normal","normal",36,19040,"hombre","fisica","subasta (0,20]","modulo-agencia",0.0,9,1,1,40,1
"arquitecto (a)",50,323640,"sorteo","autos","2015-02-20","2016-01-15","2019-02-18","2020-02-20",0,5394,34514,"normal",25,"express","automatica",50,24485,"mujer","fisica","sorteo","modulo-agencia",47.0,8,1,1,50,1
"gestor (a)",60,377036,"sorteo","autos","2015-04-17","2015-07-17","2020-03-05","2020-04-17",12566,6283,35754,"normal",41,"normal","normal",58,28599,"mujer","fisica","sorteo","modulo-agencia",13.0,9,0,1,61,1
"propietario (a)",45,392349,"subastado con 013","autos","2015-04-17","2015-04-17","2018-12-26","2020-04-17",6539,6539,40430,"normal",56,"normal","normal",44,22024,"hombre","moral","subasta (0,20]","modulo-agencia",0.0,9,0,1,46,1
"administrador (a)",26,233373,"subastado con 013","autos","2015-02-20","2015-03-20","2017-02-07","2020-02-20",19445,3889,22621,"legal",24,"normal","normal",21,13341,"hombre","fisica","subasta (0,20]","captacion",4.0,8,0,1,27,0
"operador (a)",60,206535,"subastado con 006","autos","2015-02-20","2016-07-15","2020-02-18","2020-02-20",3442,3442,17286,"normal",21,"express","automatica",59,29743,"hombre","fisica","subasta (0,20]","modulo-agencia",73.0,8,0,1,61,1
"jubilado (a)",55,193211,"automático","autos","2015-04-17","2016-09-23","2019-10-01","2020-04-17",16100,3220,14125,"legal",63,"express","automatica",50,26445,"mujer","moral","automático","modulo-agencia",75.0,8,0,1,56,0
"comerciante",16,58486,"sorteo","autos","2015-07-17","2015-07-17","2016-10-05","2020-07-17",7792,2000,6138,"legal",47,"normal","normal",8,8220,"mujer","fisica","sorteo","modulo-agencia",0.0,8,0,0,17,0
"auxiliar",33,308796,"subastado con 013","autos","2015-05-15","2015-05-15","2018-01-30","2020-05-15",5146,5146,17436,"normal",27,"normal","normal",32,16482,"hombre","fisica","subasta (0,20]","captacion",0.0,7,0,1,34,1
